n_episode,score,n_buffer,eps
1370,-102.7,20000,1.20%
1380,-138.3,20000,1.10%
1390,-284.2,20000,1.00%
1400,-488.2,20000,1.00%
1410,-492.9,20000,1.00%
1420,-299.9,20000,1.00%
1430,-141.5,20000,1.00%
1440,-192.1,20000,1.00%
1450,-465.1,20000,1.00%
1460,-500,20000,1.00%
1470,-500,20000,1.00%
1480,-500,20000,1.00%
1490,-354.6,20000,1.00%
1500,-433.8,20000,1.00%
1510,-459.3,20000,1.00%
1520,-500,20000,1.00%
1530,-471.6,20000,1.00%
1540,-470.5,20000,1.00%
1550,-496.5,20000,1.00%
1560,-500,20000,1.00%
1570,-482,20000,1.00%
1580,-474.8,20000,1.00%
1590,-495.9,20000,1.00%
1600,-489.1,20000,1.00%
1610,-486.9,20000,1.00%
1620,-500,20000,1.00%
1630,-419.8,20000,1.00%
1640,-500,20000,1.00%
1650,-471.3,20000,1.00%
1660,-468.8,20000,1.00%
1670,-500,20000,1.00%
1680,-454.9,20000,1.00%
1690,-494.7,20000,1.00%
1700,-438.7,20000,1.00%
1710,-472,20000,1.00%
1720,-481.8,20000,1.00%
1730,-438.9,20000,1.00%
1740,-342,20000,1.00%
1750,-224.9,20000,1.00%
1760,-197.2,20000,1.00%
1770,-160.1,20000,1.00%
1780,-309.4,20000,1.00%
1790,-454.8,20000,1.00%
1800,-500,20000,1.00%
1810,-500,20000,1.00%
1820,-434.2,20000,1.00%
1830,-500,20000,1.00%
1840,-472.9,20000,1.00%
1850,-322.7,20000,1.00%
1860,-500,20000,1.00%
1870,-500,20000,1.00%
1880,-460.8,20000,1.00%
1890,-500,20000,1.00%
1900,-500,20000,1.00%
1910,-500,20000,1.00%
1920,-500,20000,1.00%
1930,-500,20000,1.00%
1940,-500,20000,1.00%
1950,-500,20000,1.00%
1960,-500,20000,1.00%
1970,-500,20000,1.00%
1980,-500,20000,1.00%
1990,-500,20000,1.00%
2000,-500,20000,1.00%
2010,-500,20000,1.00%
2020,-500,20000,1.00%
2030,-500,20000,1.00%
2040,-500,20000,1.00%
2050,-500,20000,1.00%
2060,-500,20000,1.00%
2070,-500,20000,1.00%
2080,-500,20000,1.00%
2090,-500,20000,1.00%
2100,-500,20000,1.00%
2110,-500,20000,1.00%
2120,-500,20000,1.00%
2130,-500,20000,1.00%
2140,-500,20000,1.00%
2150,-500,20000,1.00%
2160,-500,20000,1.00%
2170,-500,20000,1.00%
2180,-500,20000,1.00%
2190,-500,20000,1.00%
2200,-500,20000,1.00%
2210,-500,20000,1.00%
2220,-500,20000,1.00%
2230,-500,20000,1.00%
2240,-500,20000,1.00%
2250,-500,20000,1.00%
2260,-500,20000,1.00%
2270,-500,20000,1.00%
2280,-500,20000,1.00%
2290,-500,20000,1.00%
2300,-500,20000,1.00%
2310,-500,20000,1.00%
2320,-461.4,20000,1.00%
2330,-500,20000,1.00%
2340,-500,20000,1.00%
2350,-500,20000,1.00%
2360,-500,20000,1.00%
2370,-464.3,20000,1.00%
2380,-500,20000,1.00%
2390,-500,20000,1.00%
2400,-500,20000,1.00%
2410,-500,20000,1.00%
2420,-500,20000,1.00%
2430,-500,20000,1.00%
2440,-500,20000,1.00%
2450,-500,20000,1.00%
2460,-500,20000,1.00%
2470,-500,20000,1.00%
2480,-500,20000,1.00%
2490,-500,20000,1.00%
2500,-500,20000,1.00%
2510,-500,20000,1.00%
2520,-500,20000,1.00%
2530,-500,20000,1.00%
2540,-500,20000,1.00%
2550,-500,20000,1.00%
2560,-500,20000,1.00%
2570,-500,20000,1.00%
2580,-500,20000,1.00%
2590,-500,20000,1.00%
2600,-500,20000,1.00%
2610,-500,20000,1.00%
2620,-500,20000,1.00%
2630,-500,20000,1.00%
2640,-500,20000,1.00%
2650,-500,20000,1.00%
2660,-500,20000,1.00%
2670,-500,20000,1.00%
2680,-466.8,20000,1.00%
2690,-473,20000,1.00%
2700,-363.4,20000,1.00%
2710,-439.1,20000,1.00%
2720,-469.8,20000,1.00%
2730,-331.4,20000,1.00%
2740,-468.5,20000,1.00%
2750,-500,20000,1.00%
2760,-500,20000,1.00%
2770,-500,20000,1.00%
2780,-500,20000,1.00%
2790,-500,20000,1.00%
2800,-500,20000,1.00%
2810,-500,20000,1.00%
2820,-500,20000,1.00%
2830,-500,20000,1.00%
2840,-500,20000,1.00%
2850,-500,20000,1.00%
2860,-500,20000,1.00%
2870,-500,20000,1.00%
2880,-500,20000,1.00%
2890,-500,20000,1.00%
2900,-449.6,20000,1.00%
2910,-500,20000,1.00%
2920,-500,20000,1.00%
2930,-500,20000,1.00%
2940,-500,20000,1.00%
2950,-500,20000,1.00%
2960,-500,20000,1.00%
2970,-500,20000,1.00%
2980,-500,20000,1.00%
2990,-500,20000,1.00%
3000,-500,20000,1.00%
3010,-500,20000,1.00%
3020,-500,20000,1.00%
3030,-500,20000,1.00%
3040,-500,20000,1.00%
3050,-500,20000,1.00%
3060,-500,20000,1.00%
3070,-500,20000,1.00%
3080,-500,20000,1.00%
3090,-500,20000,1.00%
3100,-500,20000,1.00%
3110,-500,20000,1.00%
3120,-500,20000,1.00%
3130,-500,20000,1.00%
3140,-500,20000,1.00%
3150,-499.8,20000,1.00%
3160,-500,20000,1.00%
3170,-500,20000,1.00%
3180,-500,20000,1.00%
3190,-500,20000,1.00%
3200,-500,20000,1.00%
3210,-500,20000,1.00%
3220,-500,20000,1.00%
3230,-500,20000,1.00%
3240,-500,20000,1.00%
3250,-500,20000,1.00%
3260,-500,20000,1.00%
3270,-500,20000,1.00%
3280,-500,20000,1.00%
3290,-500,20000,1.00%
3300,-500,20000,1.00%
3310,-500,20000,1.00%
3320,-500,20000,1.00%
3330,-500,20000,1.00%
3340,-500,20000,1.00%
3350,-500,20000,1.00%
3360,-500,20000,1.00%
3370,-500,20000,1.00%
3380,-500,20000,1.00%
3390,-500,20000,1.00%
3400,-500,20000,1.00%
3410,-500,20000,1.00%
3420,-500,20000,1.00%
3430,-500,20000,1.00%
3440,-500,20000,1.00%
3450,-500,20000,1.00%
3460,-500,20000,1.00%
3470,-500,20000,1.00%
3480,-500,20000,1.00%
3490,-500,20000,1.00%
3500,-500,20000,1.00%
3510,-500,20000,1.00%
3520,-500,20000,1.00%
3530,-500,20000,1.00%
3540,-500,20000,1.00%
3550,-500,20000,1.00%
3560,-500,20000,1.00%
3570,-500,20000,1.00%
3580,-500,20000,1.00%
3590,-500,20000,1.00%
3600,-500,20000,1.00%
3610,-500,20000,1.00%
3620,-500,20000,1.00%
3630,-500,20000,1.00%
3640,-500,20000,1.00%
3650,-500,20000,1.00%
3660,-500,20000,1.00%
3670,-500,20000,1.00%
3680,-500,20000,1.00%
3690,-500,20000,1.00%
3700,-500,20000,1.00%
3710,-500,20000,1.00%
3720,-500,20000,1.00%
3730,-500,20000,1.00%
3740,-500,20000,1.00%
3750,-500,20000,1.00%
3760,-500,20000,1.00%
3770,-500,20000,1.00%
3780,-500,20000,1.00%
3790,-500,20000,1.00%
3800,-500,20000,1.00%
3810,-500,20000,1.00%
3820,-500,20000,1.00%
3830,-500,20000,1.00%
3840,-500,20000,1.00%
3850,-500,20000,1.00%
3860,-500,20000,1.00%
3870,-500,20000,1.00%
3880,-500,20000,1.00%
3890,-500,20000,1.00%
3900,-500,20000,1.00%
3910,-500,20000,1.00%
3920,-500,20000,1.00%
3930,-500,20000,1.00%
3940,-500,20000,1.00%
3950,-500,20000,1.00%
3960,-500,20000,1.00%
3970,-500,20000,1.00%
3980,-500,20000,1.00%
3990,-500,20000,1.00%
4000,-500,20000,1.00%
4010,-500,20000,1.00%
4020,-500,20000,1.00%
4030,-500,20000,1.00%
4040,-500,20000,1.00%
4050,-500,20000,1.00%
4060,-500,20000,1.00%
4070,-500,20000,1.00%
4080,-500,20000,1.00%
4090,-500,20000,1.00%
4100,-500,20000,1.00%
4110,-500,20000,1.00%
4120,-500,20000,1.00%
4130,-500,20000,1.00%
4140,-500,20000,1.00%
4150,-500,20000,1.00%
4160,-500,20000,1.00%
4170,-500,20000,1.00%
4180,-500,20000,1.00%
4190,-500,20000,1.00%
4200,-500,20000,1.00%
4210,-500,20000,1.00%
4220,-500,20000,1.00%
4230,-500,20000,1.00%
4240,-500,20000,1.00%
4250,-500,20000,1.00%
4260,-500,20000,1.00%
4270,-500,20000,1.00%
4280,-500,20000,1.00%
4290,-500,20000,1.00%
4300,-500,20000,1.00%
4310,-500,20000,1.00%
4320,-500,20000,1.00%
4330,-500,20000,1.00%
4340,-500,20000,1.00%
4350,-500,20000,1.00%
4360,-500,20000,1.00%
4370,-500,20000,1.00%
4380,-500,20000,1.00%
4390,-500,20000,1.00%
4400,-500,20000,1.00%
4410,-500,20000,1.00%
4420,-500,20000,1.00%
4430,-500,20000,1.00%
4440,-500,20000,1.00%
4450,-500,20000,1.00%
4460,-500,20000,1.00%
4470,-500,20000,1.00%
4480,-500,20000,1.00%
4490,-500,20000,1.00%
4500,-500,20000,1.00%
4510,-500,20000,1.00%
4520,-500,20000,1.00%
4530,-500,20000,1.00%
4540,-500,20000,1.00%
4550,-500,20000,1.00%
4560,-500,20000,1.00%
4570,-500,20000,1.00%
4580,-500,20000,1.00%
4590,-500,20000,1.00%
4600,-500,20000,1.00%
4610,-500,20000,1.00%
4620,-500,20000,1.00%
4630,-500,20000,1.00%
4640,-500,20000,1.00%
4650,-500,20000,1.00%
4660,-500,20000,1.00%
4670,-500,20000,1.00%
4680,-500,20000,1.00%
4690,-500,20000,1.00%
4700,-500,20000,1.00%
4710,-500,20000,1.00%
4720,-500,20000,1.00%
4730,-500,20000,1.00%
4740,-500,20000,1.00%
4750,-500,20000,1.00%
4760,-500,20000,1.00%
4770,-500,20000,1.00%
4780,-500,20000,1.00%
4790,-500,20000,1.00%
4800,-500,20000,1.00%
4810,-500,20000,1.00%
4820,-500,20000,1.00%
4830,-500,20000,1.00%
4840,-500,20000,1.00%
4850,-500,20000,1.00%
4860,-500,20000,1.00%
4870,-500,20000,1.00%
4880,-500,20000,1.00%
4890,-500,20000,1.00%
4900,-500,20000,1.00%
4910,-500,20000,1.00%
4920,-500,20000,1.00%
4930,-500,20000,1.00%
4940,-500,20000,1.00%
4950,-500,20000,1.00%
4960,-500,20000,1.00%
4970,-500,20000,1.00%
4980,-500,20000,1.00%
4990,-500,20000,1.00%
5000,-500,20000,1.00%
5010,-500,20000,1.00%
5020,-500,20000,1.00%
5030,-500,20000,1.00%
5040,-500,20000,1.00%
5050,-500,20000,1.00%
5060,-500,20000,1.00%
5070,-500,20000,1.00%
5080,-500,20000,1.00%
5090,-500,20000,1.00%
5100,-500,20000,1.00%
5110,-500,20000,1.00%
5120,-500,20000,1.00%
5130,-500,20000,1.00%
5140,-500,20000,1.00%
5150,-500,20000,1.00%
5160,-500,20000,1.00%
5170,-500,20000,1.00%
5180,-500,20000,1.00%
5190,-500,20000,1.00%
5200,-500,20000,1.00%
5210,-500,20000,1.00%
5220,-500,20000,1.00%
5230,-500,20000,1.00%
5240,-500,20000,1.00%
5250,-500,20000,1.00%
5260,-500,20000,1.00%
5270,-500,20000,1.00%
5280,-500,20000,1.00%
5290,-500,20000,1.00%
5300,-500,20000,1.00%
5310,-500,20000,1.00%
5320,-500,20000,1.00%
5330,-500,20000,1.00%
5340,-500,20000,1.00%
5350,-500,20000,1.00%
5360,-500,20000,1.00%
5370,-500,20000,1.00%
5380,-500,20000,1.00%
5390,-500,20000,1.00%
5400,-500,20000,1.00%
5410,-500,20000,1.00%
5420,-500,20000,1.00%
5430,-500,20000,1.00%
5440,-500,20000,1.00%
5450,-500,20000,1.00%
5460,-500,20000,1.00%
5470,-500,20000,1.00%
5480,-500,20000,1.00%
5490,-500,20000,1.00%
5500,-500,20000,1.00%
5510,-500,20000,1.00%
5520,-500,20000,1.00%
5530,-500,20000,1.00%
5540,-500,20000,1.00%
5550,-500,20000,1.00%
5560,-500,20000,1.00%
5570,-500,20000,1.00%
5580,-500,20000,1.00%
5590,-500,20000,1.00%
5600,-500,20000,1.00%
5610,-500,20000,1.00%
5620,-500,20000,1.00%
5630,-500,20000,1.00%
5640,-500,20000,1.00%
5650,-500,20000,1.00%
5660,-500,20000,1.00%
5670,-500,20000,1.00%
5680,-500,20000,1.00%
5690,-500,20000,1.00%
5700,-500,20000,1.00%
5710,-500,20000,1.00%
5720,-500,20000,1.00%
5730,-500,20000,1.00%
5740,-500,20000,1.00%
5750,-500,20000,1.00%
5760,-500,20000,1.00%
5770,-500,20000,1.00%
5780,-500,20000,1.00%
5790,-500,20000,1.00%
5800,-500,20000,1.00%
5810,-500,20000,1.00%
5820,-500,20000,1.00%
5830,-500,20000,1.00%
5840,-500,20000,1.00%
5850,-500,20000,1.00%
5860,-500,20000,1.00%
5870,-500,20000,1.00%
5880,-500,20000,1.00%
5890,-500,20000,1.00%
5900,-500,20000,1.00%
5910,-500,20000,1.00%
5920,-500,20000,1.00%
5930,-500,20000,1.00%
5940,-500,20000,1.00%
5950,-500,20000,1.00%
5960,-500,20000,1.00%
5970,-500,20000,1.00%
5980,-500,20000,1.00%
5990,-500,20000,1.00%
