n_episode,score,n_buffer,eps
10,-506.7,5069,8.00%
20,-463.7,9708,7.90%
30,-307.6,12791,7.80%
40,-378.6,16582,7.80%
50,-500,20000,7.80%
60,-459,20000,7.70%
70,-494.2,20000,7.60%
80,-484,20000,7.60%
90,-407.2,20000,7.50%
100,-403.5,20000,7.50%
110,-482.4,20000,7.40%
120,-500,20000,7.40%
130,-423.9,20000,7.30%
140,-500,20000,7.30%
150,-457.2,20000,7.30%
160,-500,20000,7.20%
170,-448.1,20000,7.20%
180,-500,20000,7.10%
190,-500,20000,7.10%
200,-500,20000,7.00%
210,-500,20000,7.00%
220,-500,20000,6.90%
230,-500,20000,6.90%
240,-500,20000,6.80%
250,-500,20000,6.80%
260,-500,20000,6.70%
270,-500,20000,6.70%
280,-500,20000,6.60%
290,-500,20000,6.60%
300,-500,20000,6.50%
310,-500,20000,6.50%
320,-500,20000,6.40%
330,-500,20000,6.30%
340,-500,20000,6.30%
350,-480.2,20000,6.20%
360,-475,20000,6.20%
370,-500,20000,6.20%
380,-497.9,20000,6.10%
390,-340.5,20000,6.00%
400,-435.6,20000,6.00%
410,-489.4,20000,6.00%
420,-426.7,20000,5.90%
430,-376.3,20000,5.90%
440,-500,20000,5.80%
450,-500,20000,5.80%
460,-479.9,20000,5.70%
470,-396.1,20000,5.70%
480,-465.3,20000,5.60%
490,-500,20000,5.50%
500,-478.8,20000,5.50%
510,-500,20000,5.50%
520,-407.8,20000,5.40%
530,-455.9,20000,5.40%
540,-495.8,20000,5.30%
550,-500,20000,5.30%
560,-430.1,20000,5.20%
570,-484.7,20000,5.20%
580,-463.2,20000,5.10%
590,-406.5,20000,5.10%
600,-443.5,20000,5.00%
610,-458.6,20000,5.00%
620,-390.6,20000,4.90%
630,-479.7,20000,4.90%
640,-497.8,20000,4.80%
650,-474.5,20000,4.80%
660,-500,20000,4.70%
670,-470.5,20000,4.70%
680,-288.4,20000,4.60%
690,-395.5,20000,4.50%
700,-444.4,20000,4.50%
710,-500,20000,4.50%
720,-500,20000,4.40%
730,-500,20000,4.40%
740,-274.8,20000,4.30%
750,-369.6,20000,4.20%
760,-398.1,20000,4.20%
770,-302,20000,4.20%
780,-367,20000,4.10%
790,-278.8,20000,4.00%
800,-318.2,20000,4.00%
810,-192.7,20000,4.00%
820,-310,20000,3.90%
830,-471.1,20000,3.90%
840,-446.9,20000,3.80%
850,-500,20000,3.80%
860,-367.3,20000,3.70%
870,-249.6,20000,3.70%
880,-329.8,20000,3.60%
890,-500,20000,3.50%
900,-479,20000,3.50%
910,-411.6,20000,3.50%
920,-272,20000,3.40%
930,-262.7,20000,3.30%
940,-292.7,20000,3.30%
950,-477.5,20000,3.20%
960,-500,20000,3.20%
970,-500,20000,3.20%
980,-500,20000,3.10%
990,-500,20000,3.00%
1000,-475.9,20000,3.00%
1010,-481.1,20000,3.00%
1020,-500,20000,2.90%
1030,-500,20000,2.80%
1040,-500,20000,2.80%
1050,-500,20000,2.80%
1060,-430.2,20000,2.70%
1070,-432,20000,2.70%
1080,-288.1,20000,2.60%
1090,-362.3,20000,2.60%
1100,-499.3,20000,2.50%
1110,-259.4,20000,2.50%
1120,-321.9,20000,2.40%
1130,-227.2,20000,2.40%
1140,-152.7,20000,2.30%
1150,-144.5,20000,2.20%
1160,-130.2,20000,2.20%
1170,-284,20000,2.20%
1180,-161.2,20000,2.10%
1190,-103.9,20000,2.00%
1200,-201.9,20000,2.00%
1210,-324.5,20000,2.00%
1220,-500,20000,1.90%
1230,-450.9,20000,1.80%
1240,-163.3,20000,1.80%
1250,-97.7,20000,1.80%
1260,-138.6,20000,1.70%
1270,-443.8,20000,1.70%
1280,-455.3,20000,1.60%
1290,-388.7,20000,1.60%
1300,-150.7,20000,1.50%
1310,-138.4,20000,1.40%
1320,-115.9,20000,1.40%
1330,-393.3,20000,1.30%
1340,-423.2,20000,1.30%
1350,-457.1,20000,1.20%
1360,-304.1,20000,1.20%
